Month,Weekend,Hour,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors
1,WEEKDAY,0,0.0000,0.1592,0.0178,0.0003,0.5250,0.0598,0.1318,0.0330,0.0178,0.0092
1,WEEKDAY,1,0.0000,0.1608,0.0175,0.0002,0.5263,0.0598,0.1260,0.0326,0.0158,0.0089
1,WEEKDAY,2,0.0000,0.1628,0.0175,0.0003,0.5275,0.0598,0.1242,0.0326,0.0149,0.0088
1,WEEKDAY,3,0.0000,0.1659,0.0181,0.0003,0.5283,0.0598,0.1396,0.0337,0.0170,0.0096
1,WEEKDAY,4,0.0000,0.1664,0.0208,0.0008,0.5308,0.0598,0.2241,0.0385,0.0305,0.0140
1,WEEKDAY,5,0.0000,0.1682,0.0253,0.0017,0.5609,0.0598,0.2907,0.0513,0.0448,0.0174
1,WEEKDAY,6,0.0000,0.1683,0.0343,0.0052,0.5577,0.0000,0.3899,0.0823,0.0613,0.0186
1,WEEKDAY,7,0.0000,0.1750,0.0519,0.0117,0.5536,0.0000,0.5657,0.1369,0.0848,0.0190
1,WEEKDAY,8,0.1303,0.2780,0.0650,0.0166,0.5643,0.0000,0.7981,0.1931,0.1072,0.0193
1,WEEKDAY,9,0.2830,0.2984,0.0674,0.0185,0.6164,0.0000,0.8224,0.2181,0.1159,0.0195
1,WEEKDAY,10,0.3377,0.3039,0.0670,0.0190,0.6303,0.0000,0.8250,0.2222,0.1171,0.0195
1,WEEKDAY,11,0.3449,0.3024,0.0679,0.0191,0.6408,0.0000,0.8251,0.2222,0.1172,0.0195
1,WEEKDAY,12,0.3697,0.3042,0.0678,0.0189,0.6742,0.0000,0.8251,0.2221,0.1172,0.0195
1,WEEKDAY,13,0.3733,0.3038,0.0662,0.0186,0.6755,0.0000,0.8247,0.2201,0.1172,0.0195
1,WEEKDAY,14,0.3777,0.3001,0.0665,0.0176,0.7042,0.0000,0.8173,0.2135,0.1172,0.0195
1,WEEKDAY,15,0.3539,0.2932,0.0638,0.0143,0.6995,0.0000,0.7704,0.1849,0.1151,0.0195
1,WEEKDAY,16,0.3195,0.2822,0.0467,0.0095,0.6587,0.0000,0.6585,0.1315,0.1024,0.0195
1,WEEKDAY,17,0.1517,0.2435,0.0336,0.0053,0.6432,0.0000,0.4694,0.0917,0.0866,0.0195
1,WEEKDAY,18,0.0606,0.2264,0.0263,0.0030,0.6035,0.0957,0.3892,0.0651,0.0721,0.0194
1,WEEKDAY,19,0.0002,0.1405,0.0226,0.0019,0.5917,0.1053,0.3168,0.0498,0.0567,0.0180
1,WEEKDAY,20,0.0000,0.1427,0.0187,0.0008,0.5875,0.1053,0.2022,0.0379,0.0310,0.0114
1,WEEKDAY,21,0.0000,0.1455,0.0179,0.0003,0.5559,0.1053,0.1503,0.0337,0.0216,0.0102
1,WEEKDAY,22,0.0000,0.1493,0.0192,0.0005,0.5543,0.0598,0.1828,0.0350,0.0316,0.0138
1,WEEKDAY,23,0.0000,0.1535,0.0183,0.0004,0.5227,0.0598,0.1546,0.0337,0.0246,0.0109
1,SATURDAY,0,0.0000,0.1486,0.0163,0.0000,0.5247,0.0598,0.0989,0.0306,0.0102,0.0083
1,SATURDAY,1,0.0000,0.1541,0.0165,0.0001,0.5260,0.0598,0.1103,0.0313,0.0130,0.0092
1,SATURDAY,2,0.0000,0.1578,0.0172,0.0005,0.5275,0.0598,0.1768,0.0357,0.0294,0.0140
1,SATURDAY,3,0.0000,0.1625,0.0183,0.0012,0.5283,0.0598,0.2378,0.0407,0.0438,0.0182
1,SATURDAY,4,0.0000,0.1642,0.0189,0.0014,0.5303,0.0598,0.2556,0.0427,0.0461,0.0192
1,SATURDAY,5,0.0000,0.1657,0.0197,0.0016,0.5593,0.0598,0.2665,0.0443,0.0461,0.0195
1,SATURDAY,6,0.0000,0.1670,0.0214,0.0019,0.5542,0.0000,0.2851,0.0461,0.0461,0.0195
1,SATURDAY,7,0.0000,0.1662,0.0268,0.0020,0.5474,0.0000,0.3085,0.0509,0.0461,0.0195
1,SATURDAY,8,0.0074,0.1547,0.0295,0.0021,0.5552,0.0000,0.3206,0.0555,0.0461,0.0195
1,SATURDAY,9,0.0338,0.1596,0.0297,0.0021,0.6054,0.0000,0.3218,0.0577,0.0461,0.0195
1,SATURDAY,10,0.0361,0.1577,0.0294,0.0021,0.6183,0.0000,0.3218,0.0582,0.0461,0.0195
1,SATURDAY,11,0.0464,0.1581,0.0291,0.0021,0.6285,0.0000,0.3218,0.0582,0.0461,0.0195
1,SATURDAY,12,0.0622,0.1605,0.0291,0.0020,0.6619,0.0000,0.3218,0.0582,0.0457,0.0195
1,SATURDAY,13,0.0574,0.1562,0.0292,0.0019,0.6632,0.0000,0.3218,0.0582,0.0453,0.0195
1,SATURDAY,14,0.0715,0.1581,0.0295,0.0018,0.6920,0.0000,0.3206,0.0578,0.0447,0.0195
1,SATURDAY,15,0.0617,0.1539,0.0275,0.0017,0.6879,0.0000,0.3113,0.0538,0.0430,0.0192
1,SATURDAY,16,0.0436,0.1481,0.0206,0.0013,0.6510,0.0000,0.2672,0.0437,0.0368,0.0173
1,SATURDAY,17,0.0246,0.1473,0.0176,0.0004,0.6378,0.0000,0.1417,0.0343,0.0177,0.0107
1,SATURDAY,18,0.0100,0.1442,0.0171,0.0005,0.6000,0.0957,0.1573,0.0363,0.0256,0.0128
1,SATURDAY,19,0.0077,0.1479,0.0165,0.0001,0.5895,0.1053,0.1105,0.0317,0.0133,0.0092
1,SATURDAY,20,0.0022,0.1483,0.0163,0.0000,0.5869,0.1053,0.0989,0.0306,0.0102,0.0083
1,SATURDAY,21,0.0000,0.1494,0.0163,0.0000,0.5555,0.1053,0.0989,0.0306,0.0102,0.0083
1,SATURDAY,22,0.0000,0.1509,0.0163,0.0000,0.5535,0.0598,0.0989,0.0306,0.0102,0.0083
1,SATURDAY,23,0.0000,0.1525,0.0163,0.0000,0.5221,0.0598,0.0989,0.0306,0.0102,0.0083
1,SUNDAY,0,0.0000,0.1565,0.0164,0.0000,0.5247,0.0598,0.0989,0.0306,0.0102,0.0086
1,SUNDAY,1,0.0000,0.1579,0.0166,0.0001,0.5261,0.0598,0.1103,0.0313,0.0130,0.0111
1,SUNDAY,2,0.0000,0.1603,0.0177,0.0005,0.5276,0.0598,0.1765,0.0357,0.0294,0.0174
1,SUNDAY,3,0.0000,0.1639,0.0180,0.0011,0.5283,0.0598,0.2368,0.0402,0.0438,0.0189
1,SUNDAY,4,0.0000,0.1653,0.0181,0.0013,0.5303,0.0598,0.2537,0.0416,0.0461,0.0192
1,SUNDAY,5,0.0000,0.1663,0.0182,0.0014,0.5591,0.0598,0.2616,0.0422,0.0461,0.0195
1,SUNDAY,6,0.0000,0.1676,0.0182,0.0014,0.5540,0.0000,0.2665,0.0424,0.0461,0.0195
1,SUNDAY,7,0.0000,0.1634,0.0181,0.0014,0.5470,0.0000,0.2734,0.0424,0.0461,0.0195
1,SUNDAY,8,0.0069,0.1522,0.0181,0.0014,0.5547,0.0000,0.2797,0.0424,0.0461,0.0195
1,SUNDAY,9,0.0255,0.1575,0.0181,0.0014,0.6047,0.0000,0.2803,0.0424,0.0461,0.0195
1,SUNDAY,10,0.0250,0.1560,0.0181,0.0014,0.6175,0.0000,0.2803,0.0424,0.0461,0.0195
1,SUNDAY,11,0.0217,0.1532,0.0182,0.0014,0.6278,0.0000,0.2803,0.0424,0.0461,0.0195
1,SUNDAY,12,0.0226,0.1515,0.0182,0.0014,0.6612,0.0000,0.2803,0.0424,0.0457,0.0195
1,SUNDAY,13,0.0338,0.1530,0.0182,0.0014,0.6624,0.0000,0.2803,0.0424,0.0453,0.0195
1,SUNDAY,14,0.0349,0.1511,0.0182,0.0014,0.6913,0.0000,0.2797,0.0423,0.0447,0.0195
1,SUNDAY,15,0.0152,0.1428,0.0182,0.0013,0.6874,0.0000,0.2760,0.0421,0.0430,0.0192
1,SUNDAY,16,0.0044,0.1426,0.0181,0.0011,0.6508,0.0000,0.2484,0.0403,0.0368,0.0188
1,SUNDAY,17,0.0020,0.1425,0.0178,0.0003,0.6379,0.0000,0.1370,0.0333,0.0177,0.0174
1,SUNDAY,18,0.0000,0.1401,0.0167,0.0005,0.5998,0.0957,0.1562,0.0362,0.0256,0.0118
1,SUNDAY,19,0.0000,0.1450,0.0164,0.0001,0.5895,0.1053,0.1104,0.0317,0.0133,0.0087
1,SUNDAY,20,0.0000,0.1469,0.0163,0.0000,0.5868,0.1053,0.0989,0.0306,0.0102,0.0083
1,SUNDAY,21,0.0000,0.1516,0.0163,0.0000,0.5555,0.1053,0.0989,0.0306,0.0102,0.0083
1,SUNDAY,22,0.0000,0.1532,0.0163,0.0000,0.5535,0.0598,0.0989,0.0306,0.0102,0.0083
1,SUNDAY,23,0.0000,0.1576,0.0163,0.0000,0.5221,0.0598,0.0989,0.0306,0.0102,0.0083
